Category,German,English,Plural
Abstract & Daily Life,die Hochzeit,wedding,die Hochzeiten
Abstract & Daily Life,der Wunsch,wish / desire,die Wünsche
Abstract & Daily Life,die Hoffnung,hope,die Hoffnungen
Abstract & Daily Life,der Glaube,faith / belief,---
Abstract & Daily Life,die Wahrheit,truth,die Wahrheiten
Abstract & Daily Life,die Lüge,lie,die Lügen
Abstract & Daily Life,das Geheimnis,secret,die Geheimnisse
Abstract & Daily Life,die Kraft,strength / power,die Kräfte
Abstract & Daily Life,die Energie,energy,die Energien
Abstract & Daily Life,die Gesundheit,health,---
Abstract & Daily Life,die Krankheit,illness / disease,die Krankheiten
Abstract & Daily Life,der Schmerz,pain,die Schmerzen
Abstract & Daily Life,die Medizin,medicine,---
Abstract & Daily Life,der Arzttermin,doctor appointment,die Arzttermine
Abstract & Daily Life,die Kraft,force / power,die Kräfte
Abstract & Daily Life,die Bewegung,movement,die Bewegungen
Abstract & Daily Life,die Ruhe,quiet / calm,---
Abstract & Daily Life,der Lärm,noise,---
Abstract & Daily Life,die Stimme,voice,die Stimmen
Abstract & Daily Life,der Geruch,smell,die Gerüche
Abstract & Daily Life,der Geschmack,taste,die Geschmäcke
Abstract & Daily Life,der Blick,view / glance,die Blicke
Abstract & Daily Life,das Geräusch,sound / noise,die Geräusche
Abstract & Daily Life,die Nummer,number,die Nummern
Abstract & Daily Life,die Zahl,number / digit,die Zahlen
Abstract & Daily Life,die Menge,amount / crowd,die Mengen
Abstract & Daily Life,die Summe,sum / total,die Summen
Abstract & Daily Life,das Stück,piece,die Stücke
Abstract & Daily Life,die Gruppe,group,die Gruppen
Abstract & Daily Life,die Reihe,row / series,die Reihen
Abstract & Daily Life,die Liste,list,die Listen
Abstract & Daily Life,die Seite,page / side,die Seiten
Abstract & Daily Life,das Ende,end,die Enden
Abstract & Daily Life,der Anfang,beginning,die Anfänge
Abstract & Daily Life,die Mitte,middle,---
Abstract & Daily Life,der Rand,edge / margin,die Ränder
Abstract & Daily Life,der Hintergrund,background,die Hintergründe
Abstract & Daily Life,der Vordergrund,foreground,---
Abstract & Daily Life,der Raum,space,die Räume
Abstract & Daily Life,der Platz,seat / space,die Plätze
Abstract & Daily Life,der Boden,floor / ground,die Böden
Abstract & Daily Life,die Decke,ceiling,die Decken
Abstract & Daily Life,die Stufe,step / stage,die Stufen
Abstract & Daily Life,die Treppe,stairs / staircase,die Treppen
Abstract & Daily Life,der Aufzug,elevator / lift,die Aufzüge
Abstract & Daily Life,der Ausgang,exit,die Ausgänge
Abstract & Daily Life,der Eingang,entrance,die Eingänge
Abstract & Daily Life,der Notausgang,emergency exit,die Notausgänge
Abstract & Daily Life,die Erlaubnis,permission,die Erlaubnisse
Abstract & Daily Life,das Verbot,prohibition / ban,die Verbote
Abstract & Daily Life,die Strafe,punishment / fine,die Strafen
Abstract & Daily Life,das Gericht,court / dish,die Gerichte
Abstract & Daily Life,der Anwalt,lawyer,die Anwälte
Abstract & Daily Life,die Polizei,police,---
Abstract & Daily Life,der Polizist,police officer,die Polizisten
Abstract & Daily Life,der Dieb,thief,die Diebe
Abstract & Daily Life,der Einbruch,burglary,die Einbrüche
Abstract & Daily Life,der Krieg,war,die Kriege
Abstract & Daily Life,der Frieden,peace,---
Abstract & Daily Life,der Vertrag,contract,die Verträge
Abstract & Daily Life,das Bündnis,alliance,die Bündnisse
Abstract & Daily Life,die Steuer,tax,die Steuern
Abstract & Daily Life,die Gebühr,fee,die Gebühren
Abstract & Daily Life,die Quittung,receipt,die Quittungen
Abstract & Daily Life,die Rechnung,invoice / bill,die Rechnungen
Abstract & Daily Life,das Konto,bank account,die Konten
Abstract & Daily Life,die Karte,credit card / map,die Karten
Abstract & Daily Life,das Bargeld,cash,---
Abstract & Daily Life,der Automat,vending machine / ATM,die Automaten
Abstract & Daily Life,der Zins,interest (financial),die Zinsen
Abstract & Daily Life,der Kredit,loan / credit,die Kredite
Abstract & Daily Life,die Schulden,debts,--- (only plural)
Abstract & Daily Life,der Gewinn,profit / gain,die Gewinne
Abstract & Daily Life,der Verlust,loss,die Verluste
Abstract & Daily Life,die Aktie,share / stock,die Aktien
Abstract & Daily Life,die Messe,trade fair / mass,die Messen
Abstract & Daily Life,der Markt,market,die Märkte
